source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
source table,Class Bible / people source,✅✅137学员-NEWBIBLE_（Dcode),tblxBFSJZuyf0Aqw,144,14,0,"紧急联系人（姓名、关系、电话）; 生日日期; 基础离开; 电话; 序号; 市区; 高阶一已进课室人数; 基础健康; 高阶二1call  (A,B,C,D); 高阶四已进课室人数; 基础 - 全款/订金; 序号——; 基础已进课室（KLCP); 高阶二教练; 地址; 【报到】高阶一几点到; 文字-4; 年历; 基础确认期别; 高阶定金 (A,B,C,D)",Bible (不能删&不能动任何东西）; 客服联系; 确认137; 分emo; 【外】团队数据; Agnes专属; Grid 7(dashboard_view); Grid 7; vew3qpLDx2; vewD1k7T6M,
derived/reporting table,Reporting / result,总结合,tblN3Io49CxuGY4b,32,6,0,基础离开; 学员态度A: 主动+真诚B: 真诚 但不一定主动C: 不开放; EMO 华语名字; 企业人数; 中心全报位置; 行业性质; 存款大约多少？; Cashflow; EMO 联络号码; 营业额（经营企业）; 基础学员名字; 基础已进课室; 职位; Copy_学员的名字过来; EMO期别; 源头; 佩玲ABC; 年收入; 婚姻状况; 事业结合,Grade ABC; 教练小组; 表格 3(dashboard_view); vewKboluqs; vewzsGVzD1; vewyFCHbLV,
derived/reporting table,Scoring / grading,Grade ABC【EMO】,tbl5TXVqM4bC4pYB,26,3,0,职位; 营业额（经营企业）; 135-Emo华语全名; 133-Emo华语全名; 海星英语全名; 负债; 有几个孩子？; Emo期别; 存款大约多少？; 企业人数; Timestamp; 为谁而来？; 年收入; 婚姻状况; 其他期别-Emo名字; 海星华语全名; 职业（行业）; 年龄; Cashflow; 为何而来？,Grade ABC【EMO】; 137基础课程 - 海星资料; vewPxrqeiB,
working table,Working / data entry,Grade ABC【教练填】,tbllYqkzzZseVunk,6,3,0,"教练; 学员华语名字; 学员事业背景; 学员这几天发现自己什么？要进步的原因是什么？; 学员态度
A: 主动+真诚
B: 真诚 但不一定主动
C: 不开放; Timestamp",教练填的; KLCP137基础课程  -  学员位置; vewxY6ePMr,
working table,Profile / roster,✅教练名单（中心）,tblaQdeLwwMZitn6,42,4,0,公司地址; 中文全名 副本; 部门; 工作年资; 当教练的目的，多说一说; 本人签名; 婚姻状况(已婚/单身); 公司名称; 我要创造的价值是什么？我承诺予团队的是什么？多说一说; 教练List; 付出期别 1 /职位/ 摇篮曲; 娘家直属教练; 付出期别 4 /职位/ 摇篮曲; 誓约（期别，名字，誓约）; 教练确定(中心）; 我承诺KLCP教练行为守则; 教练级别; 年收入水平; 职位; 付出期别 2/职位/ 摇篮曲,教练团资料; 137教练填写表单; >131-教练填写表单; vewzObRiDW,
source table,Class Bible / people source,✅✅137教练-NEWBIBLE_（Dcode),tblOh2uDD384NX7t,200,8,0,"字段 4; 基础已进课室（KLCP); 字段 52; Mark有约意愿度; 高阶二C1-4信息  (A,B,C,D); 字段 9; 字段 7; 信念系统当班  (A,B,C,D); 字段 47; 基础健康; 字段 22; 文字-4; 字段 66; 字段 60; 地址; 高阶定金 (A,B,C,D); 字段 31; 字段 88; 字段 93; 备注-转海星/消耗",Bible (不能删&不能动任何东西）; 客服联系; 确认137; Grid 4; vewvjuPM7o; vewu0BLwZV; vewxdZHOJI; vewnejXCiE,
working table,Other,✅课程报名,tblxwaXcX2GYoJoq,8,2,0,学费 (RM); 杂费 (RM); 定金 (RM); 课程内容; 8% SST (RM); Total (RM); Grand Total (RM); SourceID,Grid; vewenJ5GFy,
derived/reporting table,Reporting / result,✅✅137-WHOLE-MASTERLIST【基础-高四】,tblZEqO898J9ufoX,142,51,0,"邮箱; 高阶一已进课室人数; 文字-3; 高阶四已进课室; 高阶一C1-4信息  (A,B,C,D); 基础学费; 高阶转名额; 基础2Call Status
来的目的、急需解决的问题; 结果期别; EMO 华语名字; EMO 联络号码; 高阶余款  (A,B,C,D); 付费方式 (1); 电话; 高阶一2CalL (A,B,C,D); 个人海星位置; 毕业证 (A,B,C,D); 华语名字; 余款; 高阶报读日期  (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; PL高一; 137基础76; 133 团队高一; 135团队高一; 136团队高一; 137团队高一; Account【基础课前】; 【基础】Masterlist【前中后】; 报到,
working table,Other,高阶二报到,tbl5jFkDYfYmKP58,6,2,0,文本; 名字; Baby照片; Download Lark 并进群; 已经报道; 其他补充,表格; KLCP137,
legacy/archive table,Backlog / legacy / lifecycle,✅✅137-旧Backlog【基础-高四】,tbl9l1NT8kaDlCgA,142,32,0,"信念系统当班  (A,B,C,D); 个人海星位置; 高阶二酒店费用  (A,B,C,D); 婚姻; 补款; 高阶三已进课室; 学员/教练; 基础健康面谈; 州; 高阶一C1-4信息  (A,B,C,D); 杂费定金付费方式 (A,B,C,D); 文字-2; 基础确认当班; 【报到】高阶二几点到; 【基础】Tax invoice name; EMO 华语名字; 备注-转海星/消耗; 基础健康; 字段 1; 付费方式 (1)",❌Whole Masterlist(不能删&不能动任何东西）; 表格 27; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist,
