source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
source table,DOE / declaration,136-事业挑战,tbl22v1r7Yt9gf9N,16,4,0,最新数据2; 事业1-八仙率占比; 最新数据%; 事业宣告目标/定义2; 最新%数据2; 行动; 事业宣告目标/定义1; 最新数据% - Dec; 教练; 高阶四总宣告1; 最新%数据1; 最新数据1; 事业2-八仙率占比; 名字; 学员; 高阶四总宣告2,事业挑战; 事业挑战KEY; 表格 2(dashboard_view); A-Z,
source table,Profile / roster,Dcode资料库,tblktXcMudq9wpnY,4,1,0,单选; 文本; 图片; Dcode户口,Dcode资料库,
source table,Profile / roster,136个人资料,tblEJqhLftunIvmJ,6,1,0,英文名字; 教练; 学员; 华语名字; 生日日期; 电话,表格,
working table,DOE / declaration,✅高二工作坊DOE宣告（开班前）,tblaNbaNUCvq6JIe,28,4,0,日期; 事业3 百分比; 教练; 事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 事业2-宣告定义(赢得标准）; 每周监测点 Weekly Check Point; 家庭愿景 Family Vision; 电子邮件 Email Address; 收入 Income; 事业1 百分比; 家庭新反应对象1 Family Member （关系/ 华语名字     Relationship And Name  ）举例：妈妈/林美铃; 海星宣告; 公司名字 Company name; 事业1 - 宣告目标  （数字）; 年资历 (年) Work experience (Years); 赢的时间 Winning Time（136提早赢 Win-early）; 事业2 - 宣告目标 （数字）; 事业1-宣告定义(赢得标准）; 事业2 百分比; 职位Position,高阶二工作坊; 高阶二工作坊 副本; 修改; KLCP现行三大支柱宣告- 学员 DOE,
derived/reporting table,Reporting / result,学员个人结果,tbl8qZyshyHUuxvF,7,1,0,教练名字; 华语名字; 查找引用; 文本 3; SourceID; 文本; 行动,学员个人宣告,
working table,Working / data entry,✅B5.2-【周计划表】,tbl9tRkRI6l3Psrj,61,7,0,教练; 【家2】2.干扰出现-（怎么如何排除）【Family2】 2. Interference occurs - (How to eliminate it); 【家2】方案1//行动1 【Family2】 Plan 1 // Action 1; 【家1】方案2//行动2 【Family1】 Plan 2 // Action 2; 【事】4.干扰出现--（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); 【家1&2】心态3 【Family 1 & 2】Mindset 3; 【海1】对象名字+关系 【IR】Name & Relationship; 【家1】方案3//行动3 【Family1】 Plan 3 // Action 3; 誓约; 【家1】方案1//行动1 【Family1】 Plan 1 // Action 1; 【家2】3.干扰出现-（怎么如何排除）【Family2】 3. Interference occurs - (How to eliminate it); 星期六 Saturday; 【事】方案5//行动5 【Career】 Plan 1 // Action 1; 【家1】方案5//行动5 【Family】 Plan 5 // Action 5; 学员 135 family members; 【家1】5.干扰出现-（怎么如何排除）【Family1】 5. Interference occurs - (How to eliminate it); 第几周; A5-【事】过去的选择 //现在的选择; 【事】1.干扰出现-（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); B2-对象1家庭检测点（每一天的预计铺排）,KLCP DOE Weekly Plan; 周计划表; 事业_周计划; 家庭_周计划; 海星_周计划; 周计划表Grid; 日历,
derived/reporting table,DOE / declaration,✅C1-136--教练-SUMMARY DOE,tblSkdaIjYnBDB2N,24,1,0,海星129高阶已进课室; 129基础已进课室; 海星总宣告; 事业1（数字）; 事业1 完成%; 海星130高阶已进课室; 海星当班+待确认TOTAL; 133基础已进课室; 家庭1（数据）; 家庭反应总宣告_1.1; 事业1-定义; 海星128高阶已进课室; 家庭2总完成; 家庭1反应总宣告; 家庭1总完成; 事业总完成%; 家庭反应总宣告_2; 家庭2（数据）; 家庭 总完成%; 家庭2反应总宣告,表格,
working table,DOE / declaration,✅C2-136-教练- SUMMARY DOE Form,tblUzPVI1TpuxShS,13,2,0,社服; 教练名字; 社服书面总结; 家庭对象2书面总结; 收的原因/谁收了; 事业1; 新反应收/不收; 家庭 对象1_; 家庭 对象2_; 日期; 事业 2; 家庭对象1书面总结_; 事业,136-教练DOE; 教练Form,
working table,Working / data entry,✅B5.1-【周计划表】,tblNokFcDIRxJJiT,54,4,0,【家1】方案3//行动3 【Family1】 Plan 3 // Action 3; A1.事业结果(这一周结果多少目标）; B.2.0【家庭】对象2; 【事】5.干扰出现--（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); 誓约; 【家1】4.干扰出现-（怎么如何排除） 【Family1】 4. Interference occurs - (How to eliminate it); 【家2】4.干扰出现-（怎么如何排除）【Family2】 4. Interference occurs - (How to eliminate it); 【家1】方案5//行动5 【Family】 Plan 5 // Action 5; B.1.0【家庭】对象1; 【事】2.干扰出现--（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); 书面计划表; 【事】心态1 【Career】 Mindset 1; 【事】方案5//行动5 【Career】 Plan 1 // Action 1; 【家1】方案2//行动2 【Family1】 Plan 2 // Action 2; 【家1&2】心态3 【Family 1 & 2】Mindset 3; 【海1】对象名字+关系 【IR】Name & Relationship; 学员; 【家2】5.干扰出现-（怎么如何排除） 【Family2】 5. Interference occurs - (How to eliminate it); 【事】心态3 【Career】 Mindset 3; 【家2】方案2//行动2 【Family2】 Plan 2 // Action 2,KLCP DOE Weekly Plan; 周计划表; 【学员】周计划; 周计划表Grid,
legacy/archive table,DOE / declaration,✅A0-133高一-10天宣告,tblarFoSSCPP7kMp,14,2,0,教练; 事业给与什么价值：; 总教验收; 事业定义（赢的标准）; 总教备注; 中心Call时间 （星期几 + 几点am/pm); 事业性质; 学员名字（还没有链接）; 指引负责人_; 华语名字; 家庭对象1：; 什么原因是这个对象？：; 什么原因是小目标？：; 事业总宣告,133高阶一宣告; 133-高阶一10天宣告,
legacy/archive table,DOE / declaration,✅A1-133高一学员DOE挑战宣告,tblbFvexiJicmjm3,19,1,0,高阶一收获分享; 事业总完成%; 指引负责人_; Parent items; 教练; 学员15人际名单; 家庭（数字）; 事业性质; 事业定义; 最后更新时间; 学员; 修改人; 学员名字（还没有链接）; 家庭总%; 家庭对象; 事业总宣告; 家庭总宣告; 事业1（数字）; 15人际完成,135高阶一DOE,
legacy/archive table,DOE / declaration,✅A1-133高一学员DOE挑战宣告 副本,tblDwJrMy9YnQND9,19,1,0,学员; 家庭总宣告; 事业1（数字）; Parent items; 15人际完成; 学员15人际名单; 学员名字（还没有链接）; 高阶一收获分享; 家庭总%; 教练; 家庭（数字）; 事业性质; 最后更新时间; 事业定义; 事业总完成%; 指引负责人_; 事业总宣告; 家庭对象; 修改人,135高阶一DOE,
legacy/archive table,DOE / declaration,✅A2-133高一学员DOE挑战宣告 Form,tblhd2d0YCgGwgaE,8,2,0,家庭反应收的原因是什么?; 教练名字; 事业数据; 【1】家庭收; 事业【结果】; 报告标题; 学员名字; 家庭 1数据,Grid; 135高阶一学员DOE挑战,
derived/reporting table,Scoring / grading,【分数机制】,tblWJI0tY32wrKPj,9,1,0,个人分数机制-分数; 自动化_; 自动化; 自动化 副本; 个人分数机制; Buddy分数机制-分数; 战队; Buddy分数机制; 战队-分数,135【分数机制】,
legacy/archive table,Reporting / result,135_Summary 分数机制,tbltS7CVDuI4CFvn,14,1,0,总分数; 第二周【事，家，海】; 战队; 第四周【事，家，海】 副本 副本; 【B+战】总和; 华语名字_; 第三周【事，家，海】 副本; 教练; 海星【高阶二进课室】; 第一周【事，家，海】; 海星【基础进课室】; 海星1颗3C-5分; 华语名字; 职位,Summary,
legacy/archive table,Scoring / grading,135.3-分数计算【Buddy+战队】,tblkyiMhudsYHrQj,29,5,0,【20】最快完成社服2+2的战队（total）; 教练; 【】海星（3对）; 【50】海星进课室3班; 【50】全员每日书面总结8pm之前发上来; 【每周】第一; 海星宣告; 【100】出席任何活动全员准时的战队（准时的定义-提早5分钟到场）; 【50】最快完成家庭新反应的战队（每周）; 【B+战】总分数; 【5】额外营养餐分享（每周最多3次）; 【】事业（3对）; 【20】战队每日早餐10am之前发上来; 【每周】第三; 137基础已进课室; 华语名字; 【5】个人周计划表星期日10pm之前; Buddy; 【】家庭（3对）; 战队,BUDDY+战队; 战队; 4896战队; 梦想起航战队; 西装暴徒战队,
legacy/archive table,Scoring / grading,135.2-分数计算【个人】,tbl0cjfdmhYbicsF,40,2,0,【事1】分数; 社服【第4周%】; 社服【第3周%】; 1. 海星1颗3c; 【社3】分数_; 【社2】分数_; 【家3】分数_; 事业【第3周】; 3. 【分数-20分】海星进课室守则后; 【家2】分数_; 2. 【分数-20分】海星进课室守则后 副本; 【家1】分数_; 【事4】分数; 社服【第2周%】; 【总数】第2周; 家庭【第1周%】; 事业【第1周】; 【社1】分数_; 【家4】分数_; 家庭【第4周%】,H.总; 【第一-第四】,
working table,Working / data entry,感召Form,tblPXmgKIusTdokn,6,4,0,日期; 教练; 学员; 感召金【结果】; 附件【upload】; Total 【求和】,.总; 教练小组; 教练小组。。; 136感召金Form,
working table,Other,感召（个人）,tbleicULG5h4oETr,6,4,0,TOTAL {结果}; 文本; 教练; ✅; 文本 2; 学员,表格; 0-100; Form; 表格 3(dashboard_view),
working table,DOE / declaration,✅B1.1_【DOE数据】,tblthQ4HRuDQqlcx,66,9,0,事业3 完成%; 138基础已进课室; 学员名字.; 事业4总宣告; 海星当班+待确认TOTAL; Buddy; 139.高阶已进课室; 139基础确认; 事业1-八仙率占比; 138.高阶已进课室; 家庭1-完成%; 137基础确认; 事业2（数据）; 138.高阶二已进课室; 家庭【1】反应总宣告; 家庭1（数据）; 事业1（数据）; MYCP【进课室】; 事业2-定义; 家庭2-完成%,Summary_数据库; 数据·; 事业部门_; 家庭部门; 海星部门; 海星部门_基础确认; 社服部门; 表格 9(dashboard_view); 表格 11(dashboard_view),
working table,DOE / declaration,✅B2.2_【DOE填or修改数据】,tbliJgSMyZDixB6P,46,9,0,修改人 2; 【家1书面】:反应书面总结分享; 家庭【1】对象 （当日完成，请填数字：1）; 【社服书面总结】; 【事4宣告】事业4总宣告; 【看事2结果%】目前事业2结果%（不能修改）; 【事业备注】; 【看事1结果%】目前事业1结果%（不能修改）; 家庭3对象 （当日完成，请填数字：1）; 【家庭验收(教)】; 【家1验收】验收（教练）; 【家2结果】家庭反应目前结果; 【事1结果】事业1-结果; 【事业验收(教)】; 【事2宣告】事业2总宣告; 【社服结果-1】; 【家1结果】家庭反应目前结果; 社服【结果】（不可修改）; 【家3书面】:反应书面总结分享; 战队_,B2.0_每天DOE结果; 136总.DOE【改】; 【结果】改  战狼战队; 【结果】改  星耀战队; 【家庭支柱】—; 【家庭支柱】; 【事业支柱】; 【社服支柱】; Happy基地--总.DOE【结果】,
working table,Profile / roster,✅B3.1-【海星名单or位置】,tblw1F0uYEHjObKy,33,6,0,高阶一已进课室; SourceID; 海2 记录; EMO 华语名字; 英文名字; 基础 - 全款/订金; 总费用; 海3 记录; 海7 记录; 基础问卷; 酒店费用; 序号; 全报; 华语名字; 海6 记录; 余款; EMO期别; 海4 记录; 基础确认当班; 学号,战狼战队【海部门记录】; 星耀战队【海部门记录】; 确认当班; 待确定; 不当班; 【外】团队数据,
working table,Other,✅B3.2【137进阶进度】,tbl4S9WiJHLf1y4U,12,1,0,"文本 4; 高阶二确认期别 (A,B,C,D); 结果期别; 字段 1; 基础已进课室+英文名字; 全报; 高阶二确认当班 (A,B,C,D); 高阶一确认当班 (A,B,C,D); 基础 - 全款/订金; EMO 华语名字; 高阶 - 全款/订金; SourceID",136团队高一,
working table,Working / data entry,call 确认当班,tblpaTEglVqSNwrw,7,1,0,Emo名字; 新报读海星名字; 这颗海星中心可以确认call吗？; SourceID; 海星名字; 序号; 战队,外部团队,
