source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
source table,DOE / declaration,🔥135-事业挑战,tblYIamnSZEZIUBF,15,9,0,高阶四总宣告2; 教练; 名字; 最新数据1; 事业宣告目标/定义2; 最新数据2; 华语名字; 行动; 事业宣告目标/定义1; 最新数据%; 最新%数据2; 事业1-八仙率占比; 最新%数据1; 事业2-八仙率占比; 高阶四总宣告1,事业挑战; 事业挑战KEY; 表格 2(dashboard_view); A-Z; vew1Zm39Ce; vewiEvSz7N; 表格 7(dashboard_view); 表格 8(dashboard_view); 画册(dashboard_view),
source table,Profile / roster,Dcode资料库,tbl4hfmT2agZpcEn,4,2,0,单选; 文本; 图片; Dcode户口,Dcode资料库; vewFzSA3jw,
source table,Profile / roster,135个人资料,tblyWWspKEtulHWv,4,1,0,电话; 英文名字; 华语名字; 生日日期,表格,
working table,DOE / declaration,✅135-高二工作坊DOE宣告（开班前）,tblf5DTJna23E7fg,28,3,0,事业1 - 宣告目标  （数字）; 海星宣告; 事业3 百分比; 家庭愿景 Family Vision; 家庭新反应对象1 Family Member （关系/ 华语名字     Relationship And Name  ）举例：妈妈/林美铃; 电子邮件 Email Address; 每周监测点 Weekly Check Point; 事业3-宣告; 事业2-宣告定义(赢得标准）; 赢的时间 Winning Time（130提早赢 Win-early）; 家庭关系从0-10分_; 事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 事业1 百分比; 职位Position; 父记录; 年资历 (年) Work experience (Years); 收入 Income; 什么原因想在的关系是这个分数; 复选框; 事业1-宣告定义(赢得标准）,KLCP135 DOE; 修改; KLCP135三大支柱宣告- 学员 DOE,
working table,Working / data entry,✅B5.2-【周计划表】,tblUd64uY485yQwV,61,7,0,星期一 Monday; 【家2】方案2//行动2 【Family2】 Plan 2 // Action 2; 【家2】1.干扰出现-（怎么如何排除）【Family2】 1. Interference occurs - (How to eliminate it); 【事】心态1 【Career】 Mindset 1; 【家1】方案5//行动5 【Family】 Plan 5 // Action 5; 【家2】2.干扰出现-（怎么如何排除）【Family2】 2. Interference occurs - (How to eliminate it); B.1.0【家庭】对象1; 【事】方案3//行动3 【Career】 Plan 1 // Action 1; 【家1】方案2//行动2 【Family1】 Plan 2 // Action 2; 【事】5.干扰出现--（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); 【家1】3.干扰出现-（怎么如何排除）【Family1】 3. Interference occurs - (How to eliminate it); 【事】心态3 【Career】 Mindset 3; 【事】1.干扰出现-（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); 星期五 Friday; 【家2】3.干扰出现-（怎么如何排除）【Family2】 3. Interference occurs - (How to eliminate it); 【家2】方案3//行动3 【Family2】 Plan 3 // Action 3; 【海1】对象名字+关系 【IR】Name & Relationship; 【家1】5.干扰出现-（怎么如何排除）【Family1】 5. Interference occurs - (How to eliminate it); 教练; 【家1】4.干扰出现-（怎么如何排除） 【Family1】 4. Interference occurs - (How to eliminate it),KLCP DOE Weekly Plan; 周计划表; 事业_周计划; 家庭_周计划; 海星_周计划; 周计划表Grid; 日历,
derived/reporting table,DOE / declaration,✅C1-135--教练-SUMMARY DOE,tbl7G9acOqtr0Uhy,24,1,0,家庭1总完成; 事业1 完成%; 事业1总宣告; 家庭2总完成; 133基础已进课室; 海星当班+待确认TOTAL; 家庭1（数据）; 家庭反应总宣告_2; 家庭1反应总宣告; 行业性质; 海星128高阶已进课室; 教练名字.; Parent items; 事业1（数字）; 事业总完成%; 129基础已进课室; 事业1-定义; 海星130高阶已进课室; 海星129高阶已进课室; 家庭2反应总宣告,表格,
working table,DOE / declaration,✅C2-135-教练- SUMMARY DOE Form,tblac99gEqtgT9mJ,13,2,0,家庭 对象2_; 社服; 事业; 教练名字; 事业 2; 新反应收/不收; 事业1; 收的原因/谁收了; 家庭对象1书面总结_; 家庭 对象1_; 社服书面总结; 日期; 家庭对象2书面总结,135-教练DOE; 135教练Form,
working table,DOE / declaration,✅A0-133高一-10天宣告,tblph6o1akiIOPYA,14,3,0,教练; 总教验收; 事业定义（赢的标准）; 事业总宣告; 事业给与什么价值：; 中心Call时间 （星期几 + 几点am/pm); 华语名字; 家庭对象1：; 什么原因是这个对象？：; 什么原因是小目标？：; 事业性质; 学员名字（还没有链接）; 总教备注; 指引负责人_,133高阶一宣告; 133-高阶一10天宣告; vewdtpKltZ,
working table,DOE / declaration,✅A1-133高一学员DOE挑战宣告,tbleinIU2UuomgZu,19,2,0,家庭总宣告; 家庭对象; 事业性质; 事业总宣告; 事业1（数字）; 15人际完成; 事业定义; 最后更新时间; 学员名字（还没有链接）; 事业总完成%; 修改人; 高阶一收获分享; 指引负责人_; 学员; Parent items; 学员15人际名单; 家庭（数字）; 教练; 家庭总%,135高阶一DOE; vewINBu2de,
legacy/archive table,DOE / declaration,✅A1-133高一学员DOE挑战宣告 副本,tblYy60nAdRzArNH,19,2,0,学员名字（还没有链接）; 学员; 学员15人际名单; 15人际完成; Parent items; 修改人; 教练; 事业定义; 家庭对象; 家庭总%; 事业总完成%; 最后更新时间; 事业性质; 事业1（数字）; 高阶一收获分享; 事业总宣告; 指引负责人_; 家庭（数字）; 家庭总宣告,135高阶一DOE; vewEHG5rcf,
